fix_day,hr,count,mean,std,min,25%,50%,75%,max
4.0,20,4.0,1.44780504,0.48178702700000003,1.115596917,1.207303507,1.256179187,1.49668072,2.1632648690000003
4.0,21,,,,,,,,
4.0,22,1.0,3.1073446330000003,,3.1073446330000003,3.1073446330000003,3.1073446330000003,3.1073446330000003,3.1073446330000003
4.0,23,1.0,3.2504362999999996,,3.2504362999999996,3.2504362999999996,3.2504362999999996,3.2504362999999996,3.2504362999999996
5.0,0,1.0,5.1290322580000005,,5.1290322580000005,5.1290322580000005,5.1290322580000005,5.1290322580000005,5.1290322580000005
5.0,1,,,,,,,,
5.0,2,,,,,,,,
5.0,3,,,,,,,,
5.0,4,,,,,,,,
5.0,5,,,,,,,,
5.0,6,2.0,1.404173306,0.490347886,1.05744499,1.230809148,1.404173306,1.577537463,1.750901621
5.0,7,4.0,2.446573114,0.585038731,1.74182819,2.091209861,2.5040467790000003,2.859410032,3.03637071
5.0,8,4.0,2.743794692,0.47966639899999997,2.227441534,2.414191923,2.731008034,3.0606108030000003,3.285721166
5.0,9,4.0,2.1747640930000003,0.069401336,2.0737338419999998,2.157271899,2.200870284,2.218362478,2.223581961
5.0,10,3.0,1.333585208,0.078618227,1.258616535,1.292675501,1.326734466,1.371069544,1.4154046219999998
5.0,11,3.0,1.3630017019999998,0.074047526,1.2917731909999999,1.324713421,1.357653651,1.3986159580000002,1.439578264
5.0,12,3.0,1.7622771019999999,0.081733606,1.6679326819999998,1.7376035490000001,1.807274415,1.809449312,1.811624208
5.0,13,2.0,2.010415347,0.297447595,1.800088135,1.9052517409999998,2.010415347,2.115578952,2.220742558
5.0,14,2.0,1.538837395,0.341163657,1.2975982590000001,1.4182178269999999,1.538837395,1.659456962,1.78007653
5.0,15,3.0,1.631549844,0.525857483,1.141976579,1.353621479,1.565266379,1.876336477,2.187406574
5.0,16,3.0,2.220278237,0.046792331,2.178780509,2.19492068,2.211060851,2.241027102,2.270993352
5.0,17,3.0,4.197752529,1.808428081,2.9576679089999995,3.160226267,3.362784625,4.81779484,6.272805054
5.0,18,3.0,7.0869867,0.54358346,6.666666667,6.780051992000001,6.893437316,7.297146717,7.700856118
5.0,19,3.0,3.737696293,3.322656907,1.406054254,1.835445705,2.264837155,4.903517313,7.54219747
5.0,20,3.0,2.866016415,1.701496411,1.68985057,1.890512287,2.0911740030000003,3.4540993369999997,4.817024671
5.0,21,1.0,3.697884788,,3.697884788,3.697884788,3.697884788,3.697884788,3.697884788
5.0,22,2.0,1.82675728,0.31592719399999997,1.603363018,1.7150601490000001,1.82675728,1.93845441,2.050151541
5.0,23,,,,,,,,
6.0,0,,,,,,,,
6.0,1,,,,,,,,
6.0,2,1.0,5.658914729,,5.658914729,5.658914729,5.658914729,5.658914729,5.658914729
6.0,3,,,,,,,,
6.0,4,,,,,,,,
6.0,5,,,,,,,,
6.0,6,,,,,,,,
6.0,7,1.0,4.268292683,,4.268292683,4.268292683,4.268292683,4.268292683,4.268292683
6.0,8,2.0,1.8376302409999998,0.709838882,1.335698354,1.586664298,1.8376302409999998,2.088596185,2.3395621280000003
6.0,9,,,,,,,,
6.0,10,3.0,1.3762261569999998,0.323282797,1.0092653870000001,1.254835451,1.500405515,1.5597065419999998,1.619007569
6.0,11,3.0,1.249659142,0.313766162,1.0249773340000001,1.070415777,1.11585422,1.362000047,1.6081458730000002
6.0,12,4.0,1.395417594,0.239587009,1.14137945,1.2491733790000001,1.371010642,1.5172548559999999,1.69826964
6.0,13,2.0,1.469348905,0.026900755,1.450327199,1.4598380519999998,1.469348905,1.478859758,1.488370611
6.0,14,4.0,1.301879061,0.187947957,1.056592912,1.2267213240000001,1.322034207,1.397191944,1.5068549169999998
6.0,15,2.0,1.3962730030000001,0.36474369700000003,1.1383602609999999,1.267316632,1.3962730030000001,1.5252293730000002,1.654185744
6.0,16,3.0,1.4988503180000001,0.080592417,1.411681816,1.4629481180000001,1.514214419,1.542434569,1.5706547180000001
6.0,17,2.0,1.448345739,0.181881562,1.319736053,1.384040896,1.448345739,1.5126505819999998,1.576955425
6.0,18,3.0,1.887518223,0.9041833779999999,1.184213242,1.377562826,1.57091241,2.239170713,2.907429016
6.0,19,3.0,1.662035758,0.707305744,1.2480071940000002,1.253685758,1.2593643209999998,1.86905004,2.478735759
6.0,20,1.0,1.374191179,,1.374191179,1.374191179,1.374191179,1.374191179,1.374191179
6.0,21,2.0,1.4461959530000001,0.32921982899999996,1.2134023790000001,1.329799166,1.4461959530000001,1.562592739,1.6789895259999998
6.0,22,2.0,2.588123338,0.303305554,2.373653924,2.480888631,2.588123338,2.695358045,2.802592752
6.0,23,1.0,1.73926122,,1.73926122,1.73926122,1.73926122,1.73926122,1.73926122
7.0,0,,,,,,,,
7.0,1,,,,,,,,
7.0,2,,,,,,,,
7.0,3,,,,,,,,
7.0,4,1.0,3.8051750380000002,,3.8051750380000002,3.8051750380000002,3.8051750380000002,3.8051750380000002,3.8051750380000002
7.0,5,1.0,14.16,,14.16,14.16,14.16,14.16,14.16
7.0,6,,,,,,,,
7.0,7,,,,,,,,
7.0,8,,,,,,,,
7.0,9,,,,,,,,
7.0,10,3.0,1.44907646,0.09389777199999999,1.379724055,1.395650014,1.4115759730000002,1.4837526630000002,1.555929352
7.0,11,3.0,1.4004489169999998,0.264626273,1.142265442,1.265133998,1.3880025530000002,1.529540655,1.671078756
7.0,12,3.0,1.491029565,0.16290289800000002,1.315337507,1.418009386,1.520681265,1.578875594,1.6370699219999998
7.0,13,4.0,1.43149793,0.67732278,1.021377912,1.056626529,1.131540269,1.50641167,2.44153327
7.0,14,2.0,1.734461909,0.7639709790000001,1.194252849,1.464357379,1.734461909,2.004566439,2.274670969
7.0,15,2.0,3.0431211910000004,0.050622518,3.007325665,3.0252234280000003,3.0431211910000004,3.061018953,3.078916716
7.0,16,4.0,1.614449105,0.575073886,1.0047408420000001,1.182981612,1.671826324,2.103293817,2.109402932
7.0,17,3.0,1.28948732,0.195359859,1.1022474629999999,1.188199375,1.274151287,1.383107249,1.49206321
7.0,18,2.0,1.258667083,0.135760057,1.162670226,1.210668655,1.258667083,1.3066655120000001,1.35466394
7.0,19,2.0,1.239719378,0.133532056,1.1452979559999998,1.192508667,1.239719378,1.2869300890000002,1.3341408000000001
7.0,20,4.0,1.730433756,0.5252299220000001,1.163943455,1.476874042,1.6658242269999999,1.91938394,2.426143116
7.0,21,,,,,,,,
7.0,22,,,,,,,,
7.0,23,,,,,,,,
